id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd00053_e0	L-Glutamine	C5H10N2O3	1	ZDXPYRJPNDTMRX-VKHMYHEASA-N	N=C(O)CCC(N)C(=O)O	-121.69	C00064	cpd00053
cpd02799_m0	Methylisocitrate	C7H7O7	1	HHKPKXCSHMJWCF-WVBDSBKLSA-K	CC(O)(C(=O)[O-])C(CC(=O)[O-])C(=O)[O-]	-280.63	C04593	cpd02799
cpd00356_c0	dCTP	C9H13N3O13P3	1	RGWHQCVHVJXOKC-SHYZEUOFSA-K	N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)([O-])[O-])O2)c([O-])n1	-721.54	C00458	cpd00356
cpd11455_c0	ps_BS	C8H11NO10PR2	1				C02737	cpd11455
cpd00029_m0	Acetate	C2H3O2	1	QTBSBXVTEAMEQO-UHFFFAOYSA-M	CC(=O)[O-]	-88.29	C00033	cpd00029
cpd02799_c0	Methylisocitrate	C7H7O7	1	HHKPKXCSHMJWCF-WVBDSBKLSA-K	CC(O)(C(=O)[O-])C(CC(=O)[O-])C(=O)[O-]	-280.63	C04593	cpd02799
cpd24509_c0	dihydrodemethylsterigmatocystin	C17H12O6	1	WUSMTEDKVPWFDN-BWKAKNAASA-N	O=c1c2c(O)cccc2oc2c3c(cc(O)c12)OC1OCCC31	-140.2		cpd24509
cpd11455_m0	ps_BS	C8H11NO10PR2	1				C02737	cpd11455
cpd03847_e0	Myristic acid	C14H27O2	1	TUNFSRHWOTWDNC-UHFFFAOYSA-M	CCCCCCCCCCCCCC(=O)[O-]	-67.31	C06424	cpd03847
cpd03847_c0	Myristic acid	C14H27O2	1	TUNFSRHWOTWDNC-UHFFFAOYSA-M	CCCCCCCCCCCCCC(=O)[O-]	-67.31	C06424	cpd03847
cpd00053_m0	L-Glutamine	C5H10N2O3	1	ZDXPYRJPNDTMRX-VKHMYHEASA-N	N=C(O)CCC(N)C(=O)O	-121.69	C00064	cpd00053
cpd02333_c0	Quinolinate	C7H3NO4	1	GJAWHXHKYYXBSV-UHFFFAOYSA-L	O=C([O-])c1cccnc1C(=O)[O-]	-119.77	C03722	cpd02333
cpd00330_c0	Dihydrofolate	C19H19N7O6	1	OZRNSSUDZOLUSN-LBPRGKRZSA-L	N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)O)cc1)=N2	-109.12	C00415	cpd00330
cpd11427_m0	CDP-diacylglycerol	C14H17N3O15P2R2	1				C00269	cpd11427
cpd00348_c0	D-Galactose 1-phosphate	C6H12O9P	1	HXXFSFRBOHSIMQ-FPRJBGLDSA-L	O=P([O-])([O-])OC1OC(CO)C(O)C(O)C1O	-430.78	C00446	cpd00348
cpd02339_c0	alpha-D-Glutamyl phosphate	C5H9NO7P	1	YHMNHCAJNORJNE-GSVOUGTGSA-L	NC(CCC(=O)[O-])C(=O)OP(=O)([O-])O	-379.03	C03734	cpd02339
cpd11427_c0	CDP-diacylglycerol	C14H17N3O15P2R2	1				C00269	cpd11427
cpd00330_m0	Dihydrofolate	C19H19N7O6	1	OZRNSSUDZOLUSN-LBPRGKRZSA-L	N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)O)cc1)=N2	-109.12	C00415	cpd00330
M-c140car-m_m0	myristoyl-carnitine	*	1					cpd00000
cpd00351_m0	Saccharopine	C11H19N2O6	1	ZDGJAHTZVHVLOT-YUMQZZPRSA-M	NC(CCCCNC(CCC(=O)[O-])C(=O)O)C(=O)O	-229.72	C00449	cpd00351
cpd00106_m0	Fumarate	C4H2O4	1	VZCYOOQTPOCHFL-OWOJBTEDSA-L	O=C([O-])C=CC(=O)[O-]	-143.7	C00122	cpd00106
cpd01298_m0	Aminoacetone	C3H8NO	1	BCDGQXUMWHRQCB-UHFFFAOYSA-O	CC(=O)C[NH3+]	-36.68	C01888	cpd01298
cpd11211_c0	Dihydromonacolin L	C19H30O3	1	AGNDLYBQPUJADV-VCWNUMGPSA-N	CC1CCC2C(C=CC(C)C2CCC2CC(O)CC(=O)O2)C1	-54.34	C15536	cpd11211
cpd01298_c0	Aminoacetone	C3H8NO	1	BCDGQXUMWHRQCB-UHFFFAOYSA-O	CC(=O)C[NH3+]	-36.68	C01888	cpd01298
cpd01157_e0	Chitobiose	C16H28N2O11	1	CDOJPCSDOXYJJF-CBTAGEKQSA-N	CC(O)=NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2N=C(C)O)C1O	-365.46	C01674	cpd01157
cpd00106_c0	Fumarate	C4H2O4	1	VZCYOOQTPOCHFL-OWOJBTEDSA-L	O=C([O-])C=CC(=O)[O-]	-143.7	C00122	cpd00106
cpd11464_c0	Butyryl-ACP	C4H7ORS	1				C05745	cpd11464
cpd00106_e0	Fumarate	C4H2O4	1	VZCYOOQTPOCHFL-OWOJBTEDSA-L	O=C([O-])C=CC(=O)[O-]	-143.7	C00122	cpd00106
cpd01157_c0	Chitobiose	C16H28N2O11	1	CDOJPCSDOXYJJF-CBTAGEKQSA-N	CC(O)=NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2N=C(C)O)C1O	-365.46	C01674	cpd01157
cpd03284_c0	3-Sulfinopyruvate	C3H2O5S	1	JXYLQEMXCAAMOL-UHFFFAOYSA-L	O=C([O-])C(=O)CS(=O)[O-]		C05527	cpd03284
cpd08625_c0	5-Hydroxyisourate	C5H4N4O4	1	LTQYPAVLAYVKTK-UHFFFAOYSA-N	O=C1N=C(O)C2(O)NC(O)=NC2=N1	-139.18	C11821	cpd08625
cpd03650_c0	Hexadecenal	C16H30O	1	KLJFYXOVGVXZKT-CCEZHUSRSA-N	CCCCCCCCCCCCCC=CC=O	9.44	C06123	cpd03650
cpd00215_c0	Pyridoxal	C8H9NO3	1	RADKZDMFGJYCBB-UHFFFAOYSA-N	Cc1ncc(CO)c(C=O)c1O	-59.5	C00250	cpd00215
cpd00306_c0	Xylitol	C5H12O5	1	HEBKCHPVOIAQTA-SCDXWVJYSA-N	OCC(O)C(O)C(O)CO	-189.02	C00379	cpd00306
cpd00306_e0	Xylitol	C5H12O5	1	HEBKCHPVOIAQTA-SCDXWVJYSA-N	OCC(O)C(O)C(O)CO	-189.02	C00379	cpd00306
cpd00113_c0	Isopentenyldiphosphate	C5H10O7P2	1	NUHSROFQTUXZQQ-UHFFFAOYSA-L	C=C(C)CCOP(=O)(O)OP(=O)([O-])[O-]	-439.84	C00129	cpd00113
M-cerb2d-c_c0	cerebrin 2 (comp. D)	*	1					cpd00000
cpd00029_c0	Acetate	C2H3O2	1	QTBSBXVTEAMEQO-UHFFFAOYSA-M	CC(=O)[O-]	-88.29	C00033	cpd00029
cpd00029_e0	Acetate	C2H3O2	1	QTBSBXVTEAMEQO-UHFFFAOYSA-M	CC(=O)[O-]	-88.29	C00033	cpd00029
cpd01080_e0	ocdca	C18H35O2	1	QIQXTHQIDYTFRH-UHFFFAOYSA-M	CCCCCCCCCCCCCCCCCC(=O)[O-]	-60.83	C01530	cpd01080
cpd00388_c0	Allantoate	C4H7N4O4	1	NUCLJNSWZCHRKL-UHFFFAOYSA-M	N=C(O)NC(NC(=N)O)C(=O)[O-]	-166.94	C00499	cpd00388
cpd00405_c0	Hexadecanal	C16H32O	1	NIOYUNMRJMEDGI-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC=O	-11.37	C00517	cpd00405
cpd01080_c0	ocdca	C18H35O2	1	QIQXTHQIDYTFRH-UHFFFAOYSA-M	CCCCCCCCCCCCCCCCCC(=O)[O-]	-60.83	C01530	cpd01080
cpd11456_c0	Phosphatidylethanolamine	C7H12NO8PR2	1				C00350	cpd11456
cpd00559_c0	Supraene	C30H50	1	YYGNTYWPHWGJRM-FZSSMNSJSA-N	CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C	161.68	C00751	cpd00559
cpd11456_e0	Phosphatidylethanolamine	C7H12NO8PR2	1				C00350	cpd11456
cpd03035_c0	4-methylzymosterol	C28H46O	1	FOUJWBXBKVVHCJ-LQTHDRHKSA-N	CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3	44.2	C05103	cpd03035
cpd02557_m0	Farnesylfarnesylgeraniol	C40H66O	1	BZORESSIXXHLNB-DJMILUHSSA-N	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCO	177.95	C04146	cpd02557
cpd11491_c0	3-oxotetradecanoyl-acp	C14H25O2RS	1				C05759	cpd11491
cpd16235_c0	hexadecenoyl-[acyl-carrier protein]	C16H29ORS	1				C16520	cpd16235
cpd00285_c0	Phosphoethanolamine	C2H8NO4P	1	SUHOOTKUPISOBE-UHFFFAOYSA-M	NCCOP(=O)([O-])O	-257.01	C00346	cpd00285
cpd00003_c0	NAD	C21H26N7O14P2	1	BAWFJGJZGIEFAR-NNYOXOHSSA-M	N=C([O-])c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	-529.59	C00003	cpd00003
cpd00003_e0	NAD	C21H26N7O14P2	1	BAWFJGJZGIEFAR-NNYOXOHSSA-M	N=C([O-])c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	-529.59	C00003	cpd00003
cpd00170_e0	Gluconolactone	C6H10O6	1	PHOQVHQSTUBQQK-SQOUGZDYSA-N	O=C1OC(CO)C(O)C(O)C1O	-216.02	C00198	cpd00170
cpd00134_m0	Palmitoyl-CoA	C37H63N7O17P3S	1	MNBKLUUYKPBKDU-BBECNAHFSA-J	CCCCCCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-763.15	C00154	cpd00134
cpd00003_m0	NAD	C21H26N7O14P2	1	BAWFJGJZGIEFAR-NNYOXOHSSA-M	N=C([O-])c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	-529.59	C00003	cpd00003
cpd11456_m0	Phosphatidylethanolamine	C7H12NO8PR2	1				C00350	cpd11456
cpd00285_e0	Phosphoethanolamine	C2H8NO4P	1	SUHOOTKUPISOBE-UHFFFAOYSA-M	NCCOP(=O)([O-])O	-257.01	C00346	cpd00285
cpd00236_e0	D-Erythrose4-phosphate	C4H8O7P	1	NGHMDNPXVRFFGS-IUYQGCFVSA-L	O=CC(O)C(O)COP(=O)([O-])[O-]	-355.62	C00279	cpd00236
cpd00654_c0	Deoxycytidine	C9H13N3O4	1	CKTSBUTUHBMZGZ-SHYZEUOFSA-N	N=c1ccn(C2CC(O)C(CO)O2)c(O)n1	-93.04	C00881	cpd00654
cpd00236_c0	D-Erythrose4-phosphate	C4H8O7P	1	NGHMDNPXVRFFGS-IUYQGCFVSA-L	O=CC(O)C(O)COP(=O)([O-])[O-]	-355.62	C00279	cpd00236
cpd00367_c0	Cytidine	C9H13N3O5	1	UHDGCWIWMRVCDJ-XVFCMESISA-N	N=c1ccn(C2OC(CO)C(O)C2O)c(O)n1	-132.88	C00475	cpd00367
cpd00203_c0	1,3-Bisphospho-D-glycerate	C3H6O10P2	1	LJQLQCAXBUHEAZ-UWTATZPHSA-J	O=C(OP(=O)([O-])[O-])C(O)COP(=O)([O-])[O-]	-586.8	C00236	cpd00203
cpd00225_c0	Benzaldehyde	C7H6O	1	HUMNYLRZRPPJDN-UHFFFAOYSA-N	O=Cc1ccccc1	-0.35	C00261	cpd00225
cpd02843_c0	D-erythro-imidazol-glycerol-phosphate	C6H10N2O6P	1	HFYBTHCYPKEDQQ-RITPCOANSA-L	O=P([O-])([O-])OCC(O)C(O)c1cnc[nH]1	-288.2	C04666	cpd02843
cpd00931_c0	5-Amino-6--5-phosphoribosylaminouracil	C9H14N4O9P	1	LZEXYCAGPMYXLX-UMMCILCDSA-L	Nc1c([O-])nc([O-])nc1NC1OC(COP(=O)(O)O)C(O)C1O	-394.67	C01268	cpd00931
cpd00202_c0	DMAPP	C5H10O7P2	1	CBIDRCWHNCKSTO-UHFFFAOYSA-L	CC(C)=CCOP(=O)(O)OP(=O)([O-])[O-]	-439.18	C00235	cpd00202
cpd11746_e0	Cellulose	C6H10O52	1				C00760	cpd11746
cpd00159_c0	L-Lactate	C3H5O3	1	JVTAAEKCZFNVCJ-REOHCLBHSA-M	CC(O)C(=O)[O-]	-123.17	C00186	cpd00159
cpd00331_m0	cis-Aconitate	C6H3O6	1	GTZCVFVGUGFEME-IWQZZHSRSA-K	O=C([O-])C=C(CC(=O)[O-])C(=O)[O-]	-222.28	C00417	cpd00331
cpd00159_e0	L-Lactate	C3H5O3	1	JVTAAEKCZFNVCJ-REOHCLBHSA-M	CC(O)C(=O)[O-]	-123.17	C00186	cpd00159
M-chit-e_e0	chitin	*	1					cpd00000
cpd00341_c0	N-Carbamoylputrescine	C5H14N3O	1	YANFYYGANIYHGI-UHFFFAOYSA-O	N=C(O)NCCCC[NH3+]	-44.23	C00436	cpd00341
cpd02851_c0	AICAR	C9H14N4O8P	1	NOTGFIUVDGNKRI-UUOKFMHZSA-L	N=C([O-])c1ncn(C2OC(COP(=O)([O-])O)C(O)C2O)c1N	-336.61	C04677	cpd02851
cpd00382_e0	Melitose	C18H32O16	1	MUPFEKGTMRGPLJ-ZQSKZDJDSA-N	OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O	-536.13	C00492	cpd00382
cpd00151_c0	Thymine	C5H6N2O2	1	RWQNBRDOKXIBIV-UHFFFAOYSA-N	Cc1cnc(O)nc1O	-61.48	C00178	cpd00151
cpd05274_e0	Palmitoleic acid	C16H29O2	1	SECPZKHBENQXJG-FPLPWBNLSA-M	CCCCCCC=CCCCCCCCC(=O)[O-]	-41.71	C08362	cpd05274
M-ppiacp-c_c0	propionyl-[acp]	*	1					cpd00000
cpd11683_c0	Chitin	C8H13NO52	1				C00461	cpd11683
M-geod-c_c0	geodin	*	1					cpd00000
cpd01242_e0	Thyminose	C5H10O4	1	ASJSAQIRZKANQN-UHFFFAOYSA-N	O=CCC(O)C(O)CO	-141.5	C01801	cpd01242
cpd00774_c0	UroporphyrinogenIII	C40H36N4O16	1	HUHWZXWWOFSFKF-UHFFFAOYSA-F	O=C([O-])CCc1c2[nH]c(c1CC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1CC(=O)[O-])C2		C01051	cpd00774
cpd01242_c0	Thyminose	C5H10O4	1	ASJSAQIRZKANQN-UHFFFAOYSA-N	O=CCC(O)C(O)CO	-141.5	C01801	cpd01242
cpd00910_e0	Galactinol	C12H22O11	1	VCWMRQDBPZKXKG-XIDCDEPRSA-N	OCC1OC(OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1O	-378.44	C01235	cpd00910
cpd11735_c0	Amylose	C6H10O52	1				C00718	cpd11735
cpd00152_c0	Agmatine	C5H16N4	1	QYPPJABKJHAVHS-UHFFFAOYSA-P	NC(=[NH2+])NCCCC[NH3+]	5.87	C00179	cpd00152
cpd02597_m0	cis-2-Methylaconitate	C7H5O6	1	NUZLRKBHOBPTQV-ARJAWSKDSA-K	CC(C(=O)[O-])=C(CC(=O)[O-])C(=O)[O-]	-223.03	C04225	cpd02597
cpd02068_m0	3-Methylglutaconyl-CoA	C27H38N7O19P3S	1	GXKSHRDAHFLWPN-RKYLSHMCSA-I	CC(=CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])CC(=O)[O-]	-840.36	C03231	cpd02068
cpd00774_m0	UroporphyrinogenIII	C40H36N4O16	1	HUHWZXWWOFSFKF-UHFFFAOYSA-F	O=C([O-])CCc1c2[nH]c(c1CC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1CC(=O)[O-])C2		C01051	cpd00774
cpd00393_c0	Folate	C19H17N7O6	1	OVBPIULPVIDEAO-LBPRGKRZSA-L	N=c1nc([O-])c2nc(CNc3ccc(C(=O)NC(CCC(=O)[O-])C(=O)O)cc3)cnc2[nH]1	-107.8	C00504	cpd00393
cpd00470_c0	N1-Acetylspermidine	C9H23N3O	1	MQTAVJHICJWXBR-UHFFFAOYSA-P	CC(O)=NCCC[NH2+]CCCC[NH3+]	-24.81	C00612	cpd00470
cpd02201_c0	4-phosphopantothenate	C9H16NO8P	1	XHFVGHPGDLDEQO-ZETCQYMHSA-K	CC(C)(COP(=O)([O-])O)C(O)C([O-])=NCCC(=O)[O-]	-401.04	C03492	cpd02201
cpd00198_c0	D-Xylulose5-phosphate	C5H10O8P	1	FNZLKVNUWIIPSJ-RFZPGFLSSA-L	O=C(CO)C(O)C(O)COP(=O)([O-])[O-]	-393.5	C00231	cpd00198
cpd02197_c0	5-Formyltetrahydrofolate	C20H21N7O7	1	VVIAGPKUTFNRDU-STQMWFEESA-L	N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)O)cc1)N2C=O	-142.75	C03479	cpd02197
cpd02314_c0	6-Demethylsterigmatocystin	C17H10O6	1	RQQOEIJLJPCYJR-BWKAKNAASA-N	O=c1c2c(O)cccc2oc2c3c(cc(O)c12)OC1OC=CC31	-129.64	C03683	cpd02314
cpd02484_c0	Inositol 3-phosphate	C6H12O9P	1	INAPMGSXUVUWAF-PTQMNWPWSA-L	O=P([O-])([O-])OC1C(O)C(O)C(O)C(O)C1O	-432.46	C04006	cpd02484
M-adg6p-c_c0	alpha-D-glucose 6-phosphate	*	1					cpd00000
cpd00289_c0	Geranylgeranyl diphosphate	C20H34O7P2	1	OINNEUNVOZHBOX-QIRCYJPOSA-L	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)([O-])[O-]	-354.91	C00353	cpd00289
M-dfru-e_e0	D-fructose	*	1					cpd00000
M-dmipc-c_c0	Di-mannosyl-inositol-P-ceramide	*	1					cpd00000
M-dfru-c_c0	D-fructose	*	1					cpd00000
M-c162car-m_m0	hexadecadienoyl-carnitine	*	1					cpd00000
cpd05274_c0	Palmitoleic acid	C16H29O2	1	SECPZKHBENQXJG-FPLPWBNLSA-M	CCCCCCC=CCCCCCCCC(=O)[O-]	-41.71	C08362	cpd05274
cpd11492_c0	Malonyl-acyl-carrierprotein-	C3H2O3RS	1				C01209	cpd11492
cpd00919_m0	Homocitrate	C7H7O7	1	XKJVEVRQMLKSMO-SSDOTTSWSA-K	O=C([O-])CCC(O)(CC(=O)[O-])C(=O)[O-]	-278.82	C01251	cpd00919
M-c183coa-c_c0	octadecatrienoyl-CoA	*	1					cpd00000
cpd03445_m0	2-Octaprenyl-6-hydroxyphenol	C46H70O2	1	YNPGYMZVNLIZLD-BQFKTQOQSA-N	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O	172.09	C05811	cpd03445
cpd00066_c0	L-Phenylalanine	C9H11NO2	1	COLNVLDHVKWLRT-QMMMGPOBSA-N	NC(Cc1ccccc1)C(=O)O	-51.05	C00079	cpd00066
cpd11839_c0	N-Acetyl-D-glucosaminylphosphatidylinositol	C19H29NO18PR2	1				C01288	cpd11839
M-c183coa-m_m0	octadecatrienoyl-CoA	*	1					cpd00000
cpd00159_m0	L-Lactate	C3H5O3	1	JVTAAEKCZFNVCJ-REOHCLBHSA-M	CC(O)C(=O)[O-]	-123.17	C00186	cpd00159
cpd00066_e0	L-Phenylalanine	C9H11NO2	1	COLNVLDHVKWLRT-QMMMGPOBSA-N	NC(Cc1ccccc1)C(=O)O	-51.05	C00079	cpd00066
cpd08302_c0	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	C29H46O	1	LFQXEZVYNCBVDO-HSXDXYGFSA-N	CC(C)=CCCC(C)C1CC=C2C3=C(CCC21C)C1(C)CCC(O)C(C)(C)C1CC3	57.44	C11455	cpd08302
cpd02574_c0	methylthioribose-1-phosphate	C6H12O7PS	1	JTFITTQBRJDSTL-JDJSBBGDSA-L	CSCC1OC(OP(=O)([O-])[O-])C(O)C1O	-347.5	C04188	cpd02574
cpd00764_c0	7-8-Diaminononanoate	C9H21N2O2	1	KCEGBPIYGIWCDH-UHFFFAOYSA-O	CC([NH3+])C(N)CCCCCC(=O)O	-80.99	C01037	cpd00764
cpd00292_c0	HMG-CoA	C27H40N7O20P3S	1	CABVTRNMFUVUDM-VRHQGPGLSA-I	CC(O)(CC(=O)[O-])CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-900.07	C00356	cpd00292
cpd00066_m0	L-Phenylalanine	C9H11NO2	1	COLNVLDHVKWLRT-QMMMGPOBSA-N	NC(Cc1ccccc1)C(=O)O	-51.05	C00079	cpd00066
cpd00482_c0	2-Phospho-D-glycerate	C3H5O7P	1	GXIURPTVHJPJLF-UWTATZPHSA-K	O=C([O-])C(CO)OP(=O)([O-])[O-]	-371.9	C00631	cpd00482
cpd00331_c0	cis-Aconitate	C6H3O6	1	GTZCVFVGUGFEME-IWQZZHSRSA-K	O=C([O-])C=C(CC(=O)[O-])C(=O)[O-]	-222.28	C00417	cpd00331
cpd00208_c0	LACT	C12H22O11	1	GUBGYTABKSRVRQ-QKKXKWKRSA-N	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O	-376.76	C00243	cpd00208
cpd00305_c0	Thiamin	C12H17N4OS	1	JZRWCGZRTZMZEH-UHFFFAOYSA-N	Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1	52.18	C00378	cpd00305
cpd00208_e0	LACT	C12H22O11	1	GUBGYTABKSRVRQ-QKKXKWKRSA-N	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O	-376.76	C00243	cpd00208
cpd12848_c0	Holo-[carboxylase]	C17H27N5O4R2S	1				C06250	cpd12848
cpd00292_m0	HMG-CoA	C27H40N7O20P3S	1	CABVTRNMFUVUDM-VRHQGPGLSA-I	CC(O)(CC(=O)[O-])CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-900.07	C00356	cpd00292
cpd00156_m0	L-Valine	C5H11NO2	1	KZSNJWFQEVHDMF-BYPYZUCNSA-N	CC(C)C(N)C(=O)O	-86.49	C00183	cpd00156
M-c162car-c_c0	hexadecadienoyl-carnitine	*	1					cpd00000
cpd00655_c0	Dephospho-CoA	C21H33N7O13P2S	1	KDTSHFARGAKYJN-IBOSZNHHSA-L	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(O)C([O-])=NCCC([O-])=NCCS	-539.494	C00882	cpd00655
cpd02197_m0	5-Formyltetrahydrofolate	C20H21N7O7	1	VVIAGPKUTFNRDU-STQMWFEESA-L	N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)O)cc1)N2C=O	-142.75	C03479	cpd02197
cpd00673_c0	Dihydrothymine	C5H8N2O2	1	NBAKTGXDIBVZOO-UHFFFAOYSA-N	CC1CN=C(O)N=C1O	-72.07	C00906	cpd00673
cpd00156_c0	L-Valine	C5H11NO2	1	KZSNJWFQEVHDMF-BYPYZUCNSA-N	CC(C)C(N)C(=O)O	-86.49	C00183	cpd00156
cpd00156_e0	L-Valine	C5H11NO2	1	KZSNJWFQEVHDMF-BYPYZUCNSA-N	CC(C)C(N)C(=O)O	-86.49	C00183	cpd00156
cpd00150_c0	HCN	CHN	1	LELOWRISYMNNSU-UHFFFAOYSA-N	C#N		C00177	cpd00150
cpd00424_c0	Cystathionine	C7H14N2O4S	1	ILRYLPWNYFXEMH-RFZPGFLSSA-N	NC(CCSCC(N)C(=O)O)C(=O)O	-154.91	C00542	cpd00424
cpd00085_m0	beta-Alanine	C3H7NO2	1	UCMIRNVEIXFBKS-UHFFFAOYSA-N	NCCC(=O)O	-86.11	C00099	cpd00085
cpd12830_c0	Sulfatide	C10H16NO11R2S	1				C06125	cpd12830
cpd00042_c0	GSH	C10H16N3O6S	1	RWSXRVCMGQZWBV-WDSKDSINSA-M	NC(CCC([O-])=NC(CS)C(O)=NCC(=O)O)C(=O)O	-220.954	C00051	cpd00042
